"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
00c2cd37-9b3c-4c79-9f58-f60c2be34fc5,536026b5-a56a-42d8-99f6-7db872829aac,29995.0,2022-08-03,91941959-c1ae-47c4-8ec8-68de7162e1bb,"#N/A",Closed,false,"#N/A",Topicblabh-Sto Associates - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00ca0069-f82d-4344-9d58-aef5fb14de4a,1c476539-f13b-4e3d-8ad3-13270fe37563,11250.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Devcast - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0101446d-e2df-402b-9a91-4f6641dfb199,75a8220d-9d63-4b45-9dc6-eb71dd06890f,34995.0,2023-03-11,"#N/A","#N/A",Pipeline,false,"#N/A",DabZ - Additional Sale,"#N/A",70.0,false,false,"#N/A",false,"#N/A","#N/A",false,Perception Analysis,"#N/A","#N/A","#N/A",false,"#N/A"
0142d647-26bd-4ed2-bcac-63661b1bc5d5,9e1cc5ad-ef5a-4f77-9cdb-56d63c86494b,100082.0,2023-09-07,"#N/A","#N/A",Pipeline,false,"#N/A",Yakitrit-Germain Hospital - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
022f0cf9-7495-450d-939f-1c4a1e03e536,f02380aa-e07c-4214-bfc3-e46bf60343aa,34995.0,2023-05-14,"#N/A","#N/A",Pipeline,false,"#N/A",Uidoo - Additional Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
024d4a50-f8ea-4cd5-b60a-13b0b3cad7c8,165cb077-d557-46b4-b4ad-b8830a471538,32395.00000002,2023-07-02,"#N/A","#N/A",Closed,false,"#N/A",Tazz - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
02bc0568-2724-4cff-916f-abc8363efc9a,06b32870-0e9a-4153-9fcf-00ced9e93722,72395.0,2022-12-19,"#N/A","#N/A",Omitted,false,"#N/A",Topicstorm - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
042f96bf-45d2-44bf-ba41-87835cbd0bfe,45fb959d-8e65-48d4-a26d-f33f4d344ad6,32395.00000002,2023-07-02,"#N/A","#N/A",Closed,false,"#N/A",Oyoba - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
047a8cf6-0a66-42c8-b158-55d874c7548e,368c94e1-a31b-4776-95ab-b70d8e35774f,72395.0,2021-08-05,"#N/A","#N/A",Closed,false,"#N/A",Aivee - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
05776d76-66bd-4d4a-bc34-0004c7fb96be,5f6bc6e4-dd17-4d6b-89e6-fe65c5e95bff,18350.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Photofeed - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
05b767cf-f979-42b6-963a-57b7a128de6c,becb1fa6-14ec-49eb-8909-d119eff54fb6,72395.0,2022-12-19,"#N/A","#N/A",Omitted,false,"#N/A",Centimia - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
065cc7f8-08fb-480c-a257-5b76f3398a63,c92e0995-d670-48c3-859c-24ca091de1e9,18050.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Quinu - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
06e152fc-fff0-4008-8d9e-d7f2a38146ad,df2593a4-fe4c-4c5b-8f66-a2aa83ba6b34,72395.0,2022-12-19,"#N/A","#N/A",Omitted,false,"#N/A",Twinder - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0700901a-0020-487e-bf04-c531acc6c420,95bb3e2e-ff40-4f2f-bc9a-affc26c78219,18350.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Mydo - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0710938b-b598-4ad2-92d2-13574a5c38ef,38e2b92d-b685-4af5-a309-ef30a0c2b524,29995.0,2023-01-04,b8093f9b-440f-4a65-8f38-da84a3b54bc7,Some people like putting there notes into these long description fields to describe the deal. This can be unruly in a grid and out-of-box Salesforce doesn't even allow Long Notes fields to be displayed in a grid.,Closed,false,"#N/A",Skyvu - Additional Sale,Call to check on Quote,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
071b516b-4394-406f-bf3d-44a8e4ad0092,d1f63980-1c64-4b19-bfca-adf934a49bc3,72395.0,2023-07-10,"#N/A","#N/A",Pipeline,false,"#N/A",Zoovu - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
078aa7b6-4b82-42d3-a84b-6cae8ad580a2,cc8e20c5-34de-4c47-a033-a935335787c0,29995.0,2023-02-19,1bb002be-2b1f-4621-b98f-d7dcb917602f,"#N/A",Closed,false,"#N/A",Quimm - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0803140a-2afc-4d7a-9639-c9df8e9e7c94,0b3dd907-874b-47d5-916c-3fdc62f1c4e6,72395.0,2022-12-19,"#N/A","#N/A",Omitted,false,"#N/A",Gabcube - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
088f9b9a-4aa0-4ce8-a925-825c6056f280,dca34980-c1ad-4e20-bab0-bcc883f964ca,18350.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Skimia - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
08f688d2-3200-4906-97be-5889b15ea3ff,38ed838f-0fe2-4de2-9414-04e636dc8cc0,100082.0,2023-09-07,"#N/A","#N/A",Pipeline,false,"#N/A",Dynava - Upsell,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
094b8582-8cb1-4fac-b7a6-78e74ea22512,2209bbec-b4a7-48a9-a7b7-1a3d75a6d08e,32395.00000002,2023-07-02,"#N/A","#N/A",Closed,false,"#N/A",Fatz - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
095eb8ee-d180-416d-8b15-14b5e17cdd96,98ba6bb8-177b-47ff-8235-73f19b609e89,81083.0,2023-06-28,"#N/A","#N/A",Pipeline,false,"#N/A",Camimbo - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
0991ca7c-4171-41ef-87d8-c141d2efcde1,0dc582b1-94cd-4d57-957b-024132d218f0,11250.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Mynte - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
09f90ac3-ecf9-4a43-aa29-f91cac39c874,76d700b0-4067-475d-8366-097573a67bdc,29995.0,2023-02-19,"#N/A","#N/A",Closed,false,"#N/A",Digitube - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0b56493d-9ee8-4b0b-b895-323b6d7599ec,39540013-14c2-4dba-b85a-2763676337a9,29995.0,2023-03-22,d14d5b14-eafb-49db-a8db-d1a93cf94e82,"#N/A",Closed,false,"#N/A",Eadel - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0b6bf159-d38c-468c-a695-8d5770a57a59,47c7746e-3eab-4632-b923-3e197888e448,29995.0,2023-02-19,"#N/A","#N/A",Closed,false,"#N/A",Oodoo - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0bb87f80-5176-4ae2-ac19-1b9c74210301,55a4aeea-68fc-4de0-b562-541605777872,18350.0,2023-07-03,"#N/A","#N/A",Pipeline,false,"#N/A",Wikizz - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
0be30022-5a8b-409f-b4a3-e722877dbe60,932c0b48-6fba-406b-baa3-afab8ac251d9,32395.00000002,2023-05-04,"#N/A","#N/A",Closed,false,"#N/A",Noba - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,Existing Business,"#N/A","#N/A",false,"#N/A"
0bed9ee1-586e-499f-bb50-c06eb25cfd91,98ba6bb8-177b-47ff-8235-73f19b609e89,34249.0,2023-08-04,"#N/A","#N/A",Closed,false,"#N/A",Camimbo - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0d5c2e0c-a37c-4d73-97d5-01a0ce1963b8,cfef3e67-096f-4400-9671-2d0e986f8081,75000.0,2023-09-07,"#N/A","#N/A",Pipeline,false,"#N/A",Omba - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0d85a2a2-4c60-479c-8020-295d67eb8b11,77ab6189-19c9-4590-a04b-e5a02e0bd87f,72395.0,2022-12-19,"#N/A","#N/A",Omitted,false,"#N/A",Rhynyx - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0db3ec1e-78d4-4dc0-81dc-c61f0fbe8272,357d0dba-ea35-41f5-a8f9-aa2a290573c9,37495.0,2022-11-21,e8a760ba-2b63-4f59-a4e7-4d01368a4fbd,"#N/A",Closed,false,"#N/A",Dazzlesphere - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0def1dcc-c691-4e5e-a271-9759f69714cd,09a884aa-ec85-45f5-b628-255900e356ef,100082.0,2023-09-07,"#N/A","#N/A",Pipeline,false,"#N/A",Oozz - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0e1c0605-b8a3-4840-96ee-51c00bbe242c,cc8e20c5-34de-4c47-a033-a935335787c0,32395.00000002,2023-05-04,"#N/A","#N/A",Closed,false,"#N/A",Quimm - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0f35308f-e366-4442-a3db-c70432d8e89c,3fc52d3a-15c7-474a-be98-6d989f7f5976,32395.00000002,2023-07-02,"#N/A","#N/A",Closed,false,"#N/A",Zoomcast - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0fa8abff-e705-4c82-8468-2774fd0be986,9e1cc5ad-ef5a-4f77-9cdb-56d63c86494b,34995.0,2023-04-01,"#N/A","#N/A",Pipeline,false,"#N/A",Yakitrit-Germain Hospital - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
0fc1e8bc-bc4a-47a9-800d-92ff5cb56b95,e5b6b16a-e016-4118-bf44-37bdacb9b657,72395.0,2022-01-04,"#N/A","#N/A",Closed,false,"#N/A",Flipbug - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0fd74b68-8238-4c78-bf85-dbd62ecb8eba,c71b9176-57ce-40dd-b608-5206b41268d7,72395.0,2022-12-04,"#N/A","#N/A",Omitted,false,"#N/A",Myworks - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0fdfea56-2689-4455-ab82-f8e8039abf68,3e821daa-4802-464b-a0db-b20836228114,34995.0,2023-08-05,"#N/A","#N/A",Pipeline,false,"#N/A",Jaxworks - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
10dc550b-65dd-4105-a604-76416dedca99,23d00f2f-d24f-4776-9ef9-a1ccb0874aa4,18050.0,2023-07-18,"#N/A","#N/A",Pipeline,false,"#N/A",Vipe - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
