"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
000d5892-f25a-45b0-ac21-adfa0d85dd07,"#N/A",bae9580d-7559-43d3-9c9a-8c70d58af56b,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
004363ef-48dd-4a6c-8a75-74066bb5ddbf,"#N/A",4483bcb3-54c2-42a4-9289-a318878c14a7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
00497b1a-98b4-44e0-9094-3a312809b3f8,"#N/A",9eea76a3-80a7-4598-b5d5-fec847b4aeb9,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
006fef3e-b808-48e4-be4f-3f5c30f16fa4,"#N/A",ede4fb2b-6294-4df4-95d0-f668d497ba4e,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
00819ea7-54dd-4edf-bb91-f1043450e8c8,"#N/A",fd4eed29-acbd-444e-b200-9fb391eecb36,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
0083190a-2881-48c6-8577-35ab9317001b,"#N/A",c5aaced0-554b-4750-938e-4a176904d230,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
00a4af8d-ac09-41ee-820f-b2a3bfeddcdb,"#N/A",a2f1e48c-c073-45af-b144-96189b8ceecf,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00acefba-2d4d-4f13-96a8-c5ad31d9e5fd,"#N/A",fd4eed29-acbd-444e-b200-9fb391eecb36,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00b6dcc7-633c-4e43-88c7-dc130e3e8bb9,"#N/A",3ce088dd-7f66-44b7-9416-9fbcdc8cdc20,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
00bb8d9d-01cb-4b13-aed4-c0fdd2b3e282,"#N/A",d2e659e1-c460-4213-8dd9-6f5a267a306e,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
00c5b4a7-35eb-4878-b517-04997886bbc8,"#N/A",8fc2e2d7-e19d-48e8-b6ce-1b4a793428b2,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00c69c91-7fcf-4d17-a31d-b3ddd0bc620c,"#N/A",34fbd11b-beaf-4c7c-97af-5cd41166a081,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
00cacb8c-ed03-4af7-997d-029831f22ab8,"#N/A",d6fd6d8a-1801-46f8-b057-e70fb854831e,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00d275f0-1f47-4a21-a58d-720108c46f94,"#N/A",de1c28b2-8c76-4716-8b32-65c6002d9537,1.0,00kDn00000bWh6FIAS,42d9148b-1f82-46bc-bcec-a6cbe50a1cba,Renewable,"#N/A","#N/A",120.0,120.0,"#N/A"
00d2cac6-39bf-4076-aaf0-7aaca703d41c,"#N/A",4fae782c-cd81-4ae9-a52e-16ed95a600d7,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
00f1ebad-ac79-4fff-8459-5c6974ba5b46,"#N/A",36c4052a-e490-4b60-ad70-d246ab23db88,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
010962b6-fe16-410c-a5fc-7645686fac83,"#N/A",a618929a-e398-43b7-8f40-f5420c04f34a,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
010d8675-281d-4f14-9d20-d938ba2b1940,"#N/A",44fb6688-b2ba-46f1-8499-dcc7e4092554,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
01166c77-8ece-4cc1-8fc6-01c8c14d59cb,"#N/A",435c7236-5986-4cff-b715-9fa03136a76d,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
0116cd0e-4fcc-470e-a2e2-df495fa1b573,"#N/A",5bb0b1c9-e3dd-4ab3-9d02-6fbb3c977410,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
0123d4b2-44a5-4649-b1d8-deca8788aaac,"#N/A",d60fb63f-be72-43a7-a50e-c0dedeb505fa,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
012e6c1f-36b8-4e09-ac06-3a3eb72dfd80,"#N/A",133f05e2-f742-45c6-9347-203af257f7dc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
01345de3-f7a5-49fc-a911-263ad829ff6f,"#N/A",af8f5e88-5502-4317-8224-374714535ab4,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
013fbb4e-989a-49aa-acc0-caa5994de99d,"#N/A",c06fea8f-bd5b-4e98-9444-2511bcfcf6b4,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
01466bbc-7ee8-428c-a428-e41f51b2214e,"#N/A",8fc2e2d7-e19d-48e8-b6ce-1b4a793428b2,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0150bd33-a646-4669-a4b2-5bcb9bb0f9e4,"#N/A",58935ca8-3f8d-4f14-95ff-cb4d6012d91d,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
015cb3f3-0faa-434f-9ec8-0bb58d987a13,"#N/A",6c8f091f-a93d-42b4-81ca-8d777e0da5a2,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
016c7fdd-caf1-4b35-8d19-a9584bb1db0b,"#N/A",e6f5e0de-266d-4143-80e5-2e85a215af63,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
01786c4e-ecea-47bc-bc8b-5c56f6f4247a,"#N/A",06e152fc-fff0-4008-8d9e-d7f2a38146ad,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
01788bcb-5c1e-46b3-bbaf-6b2ec0f3a1f1,"#N/A",a2f1e48c-c073-45af-b144-96189b8ceecf,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
01951d16-cd6e-4da7-a635-a6d84d490f36,"#N/A",192a3d80-9cf6-4218-a67d-67542d7a9759,18.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4482.0,249.0,"#N/A"
01a27e87-cefa-44a9-aae7-4e403c645460,"#N/A",68a95c8b-b4a9-4291-86a3-3344bf43657b,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
