"Guid","Name","SBQQ__MethodName__c","SBQQ__Version__c"
16019cea-eb63-4cb3-81c6-c9b9c8147a40,a2XDn000003qWyg,SBQQ.InstallProcessorBatchLocalizationIndex,228.7
25c6ee46-0ebc-43ce-be5b-b5e3fe0d5d47,a2XDn000003qWyV,createAmendSubscriptionsCustomQleAction,228.7
2b8ea7d4-991c-416d-97b5-7eebde910c79,a2XDn000003qWyo,SBQQ.ProductRefFieldGenerator,228.7
3a1be08e-fd82-4678-9ed2-afa7b2ff74e6,a2XDn000003qWym,SBQQ.PriceRuleRefFieldGenerator,228.7
401a5cf1-68d1-447d-9fb5-fece604548df,a2XDn000003qWyb,SBQQ.InstallProcessorBatchQuantityEditable,228.7
480f6941-54f3-41ea-bcd2-818ad236284d,a2XDn000003qWyU,createExternalConfiguratorCustomAction,228.7
489d419f-c240-4240-b734-eddcd634debc,a2XDn000003qWyW,viewPricingGuidanceLineAction,228.7
50e13fc1-362d-4faa-ae4a-0a208059413f,a2XDn000003qWyu,SBQQ.BatchableConfigAttrReferencedFieldUtil,228.7
5518cd69-133d-4ffb-a41b-b42afa455f43,a2XDn000003qWyi,CalculatorReferencedFieldRemover,228.7
6b3e6b64-4e85-46b5-8f60-57748ca080a5,a2XDn000003qWyX,createConfiguratorEditRulesAction,228.7
7f66756b-9acf-4fa0-b9fd-d40505b52ffa,a2XDn000003qWyp,SBQQ.RootIdSetterParentSubscriptions,228.7
8757e4aa-fd12-4ef0-a66f-b5b9427a10c8,a2XDn000003qWyl,SBQQ.DiscountScheduleRefFieldGenerator,228.7
88e813c4-3643-441a-9e4a-c2a081be3803,a2XDn000003qWyv,SBQQ.RootIdSetterParentAssets,228.7
9b1cc0e7-be2f-4741-bb4f-50763dc91d65,a2XDn000003qWyt,SBQQ.InstallProcessorBatchHasCS,228.7
a6b9ad34-182a-455f-8317-ef811cebf297,a2XDn000003qWyn,SBQQ.CustomActionRefFieldGenerator,228.7
ac39e953-4b9f-4f63-9c87-b4999028c57e,a2XDn000003qWya,SBQQ.InstallProcessorBatchRegularPrice,228.7
ae5a18d9-fff9-4b76-aeef-94e40c29e669,a2XDn000003qWyZ,createAddRecommendedProductsAction,228.7
b28f3b74-27cf-4b6b-acaf-57227bbb8de7,a2XDn000003qWyd,SBQQ.InstallProcessorBatchQLIPriceBookEntry,228.7
b3b18619-39d4-4ada-9d7c-51e1c004bf9a,a2XDn000003qWyx,SBQQ.RootIdSetterChildAssets,228.7
b5451ecf-106a-4c14-b58f-5024b549c819,a2XDn000003qWyh,SBQQ.InstallProcessorBatchAssetCombineKey,228.7
b5e6c0c1-a346-4d71-936f-d31e9a76cfac,a2XDn000003qWyr,SBQQ.SummaryVarRefFieldGenerator,228.7
bb2555d2-c6ed-4884-b102-96b4a8c46e9e,a2XDn000003qWyw,SBQQ.RootIdSetterChildSubscriptions,228.7
bfbf91da-33e8-4b88-8219-0261c2b597b3,a2XDn000003qWyY,enableFlagToPreventBackdatedAmendments,228.7
ca65d942-f329-4c90-9a79-677c3773e83b,a2XDn000003qWyj,SBQQ.BatchableDSExclusionGenerator,228.7
d86760be-2dec-4aff-9ea5-256038a32b0f,a2XDn000003qWyc,SBQQ.BatchablePluginTranspileUtil,228.7
d8e3dd5d-3549-4aaf-b242-79f0fc9e20e5,a2XDn000003qWyk,SBQQ.InstallProcessorBatchThemeGenerator,228.7
e4cfd8de-5b16-47af-a4b4-a1d587957670,a2XDn000003qWyf,SBQQ.ReferencedFieldRemover,228.7
ea3b94a9-a49b-4f15-8e47-6970b4db69ec,a2XDn000003qWyq,updateOIsWithAssetsContractsSubs,228.7
ecf4825c-9126-43c0-a5dd-0d9a477dfcaa,a2XDn000003qWyS,createCustomActionsOnQLE,228.7
f4a14b2c-089c-4744-b584-a2d7b738e689,a2XDn000003qWys,SBQQ.ProductRuleRefFieldGenerator,228.7
fa428e1c-91a5-4b73-b25d-6db6579d19f4,a2XDn000003qWye,SBQQ.InstallProcessorBatchRequiredByAsset,228.7
fa42b17a-ee9f-4895-8e10-6bab7f1792c7,a2XDn000003qWyT,createViewConsumptionScheduleLineAction,228.7
